21:35:24,37,37,21:35:24
21:35:24,65,65,21:35:24
21:35:24,57,46,21:35:25
21:35:25,37,32,21:35:25
21:35:25,61,61,21:35:25
21:35:25,72,49,21:35:25
21:35:25,53,53,21:35:25
21:35:25,59,43,21:35:25
21:35:25,48,38,21:35:25
21:35:25,56,50,21:35:25
21:35:25,59,54,21:35:25
21:35:25,61,50,21:35:25
21:35:25,76,52,21:35:25
21:35:25,100,59,21:35:25
21:35:25,85,56,21:35:26
21:35:26,62,44,21:35:26
21:35:26,52,42,21:35:26
21:35:26,80,69,21:35:26
21:35:26,33,33,21:35:26
21:35:26,62,51,21:35:26
21:35:26,84,62,21:35:26
21:35:26,58,40,21:35:26
21:35:26,53,43,21:35:26
21:35:26,67,58,21:35:26
21:35:26,47,32,21:35:26
21:35:26,48,48,21:35:26
21:35:26,49,49,21:35:26
21:35:26,61,59,21:35:26
21:35:26,38,29,21:35:26
21:35:26,81,44,21:35:26
21:35:26,68,42,21:35:26
21:35:26,48,35,21:35:26
21:35:26,55,39,21:35:27
21:35:27,71,53,21:35:27
21:35:27,81,44,21:35:27
21:35:27,44,44,21:35:27
21:35:27,47,32,21:35:27
21:35:27,49,39,21:35:27
21:35:27,51,51,21:35:27
21:35:27,36,33,21:35:27
21:35:27,40,36,21:35:27
21:35:27,43,33,21:35:27
21:35:27,60,46,21:35:27
21:35:27,32,31,21:35:27
21:35:27,75,62,21:35:27
21:35:27,47,40,21:35:27
21:35:27,39,39,21:35:27
21:35:27,86,63,21:35:27
21:35:27,74,50,21:35:27
21:35:27,38,35,21:35:27
21:35:27,33,30,21:35:27
21:35:27,63,52,21:35:27
21:35:27,80,65,21:35:27
21:35:27,26,26,21:35:27
21:35:27,47,47,21:35:27
21:35:27,60,50,21:35:28
21:35:28,71,48,21:35:28
21:35:28,75,51,21:35:28
21:35:28,48,48,21:35:28
21:35:28,76,59,21:35:28
21:35:28,106,74,21:35:28
21:35:28,42,42,21:35:28
21:35:28,68,44,21:35:28
21:35:28,42,42,21:35:28
21:35:28,60,38,21:35:28
21:35:28,25,25,21:35:28
21:35:28,79,49,21:35:29
21:35:29,73,43,21:35:29
21:35:29,29,26,21:35:29
